CODIGO,DEPARTAMENTO,EDAD_0-4_anos,EDAD_5-9_anos,EDAD_10-14_anos,EDAD_15-19_anos,EDAD_20-24_anos,EDAD_25-29_anos,EDAD_30-34_anos,EDAD_35-39_anos,EDAD_40-44_anos,EDAD_45-49_anos,EDAD_50-54_anos,EDAD_55-59_anos,EDAD_60-64_anos,EDAD_65-69_anos,EDAD_70-74_anos,EDAD_75-79_anos,EDAD_80-84_anos,EDAD_85_anos_y_mas,EDAD_0-4_anos_Norm_Norm,EDAD_5-9_anos_Norm_Norm,EDAD_10-14_anos_Norm_Norm,EDAD_15-19_anos_Norm_Norm,EDAD_20-24_anos_Norm_Norm,EDAD_25-29_anos_Norm_Norm,EDAD_30-34_anos_Norm_Norm,EDAD_35-39_anos_Norm_Norm,EDAD_40-44_anos_Norm_Norm,EDAD_45-49_anos_Norm_Norm,EDAD_50-54_anos_Norm_Norm,EDAD_55-59_anos_Norm_Norm,EDAD_60-64_anos_Norm_Norm,EDAD_65-69_anos_Norm_Norm,EDAD_70-74_anos_Norm_Norm,EDAD_75-79_anos_Norm_Norm,EDAD_80-84_anos_Norm_Norm,EDAD_85_anos_y_mas_Norm_Norm
25,Cundinamarca,183841,205749,223631,236546,241429,225633,212579,209071,178562,172491,166158,144830,115768,88110,63456,45940,30638,24365,0.066,0.074,0.081,0.085,0.087,0.081,0.077,0.076,0.064,0.062,0.060,0.052,0.042,0.032,0.023,0.017,0.011,0.009
27,Choco,50784,53350,52188,45094,39074,37390,33101,27502,23173,20104,17681,16457,12511,8989,5678,5029,3522,2732,0.112,0.117,0.115,0.099,0.086,0.082,0.073,0.061,0.051,0.044,0.039,0.036,0.028,0.020,0.012,0.011,0.008,0.006
41,Huila,80363,83326,90254,94543,87657,79710,71739,69375,59947,57197,55125,48755,38650,29360,21333,15546,10476,8498,0.080,0.083,0.090,0.094,0.087,0.080,0.072,0.069,0.060,0.057,0.055,0.049,0.039,0.029,0.021,0.016,0.010,0.008
44,La_Guajira,97441,98212,88651,84429,76450,66041,58548,51999,41615,35827,31171,27571,19344,14875,10017,7348,4336,4505,0.119,0.120,0.108,0.103,0.093,0.081,0.072,0.064,0.051,0.044,0.038,0.034,0.024,0.018,0.012,0.009,0.005,0.006
47,Magdalena,111842,122990,127541,126187,108796,97164,87525,82931,73637,68783,63350,54039,42497,33573,22809,16670,10676,9532,0.089,0.098,0.101,0.100,0.086,0.077,0.069,0.066,0.058,0.055,0.050,0.043,0.034,0.027,0.018,0.013,0.008,0.008
50,Meta,68417,75443,81646,81267,79387,75059,69469,67061,57586,53712,50681,42891,32514,23933,17013,11976,7443,5722,0.076,0.084,0.091,0.090,0.088,0.083,0.077,0.074,0.064,0.060,0.056,0.048,0.036,0.027,0.019,0.013,0.008,0.006
52,Narino,87885,97217,113020,124189,119580,107608,100744,97718,84525,79514,73062,61679,50111,41406,32608,24749,16736,14236,0.066,0.073,0.085,0.094,0.090,0.081,0.076,0.074,0.064,0.060,0.055,0.046,0.038,0.031,0.025,0.019,0.013,0.011
54,Norte_de_Santander,100039,109191,116743,119477,121407,112051,101871,96630,82080,78850,74013,64546,51094,38445,27180,20260,12943,10923,0.075,0.082,0.087,0.089,0.091,0.084,0.076,0.072,0.061,0.059,0.055,0.048,0.038,0.029,0.020,0.015,0.010,0.008
63,Quindio,26856,29112,33845,40663,42403,38453,34800,35824,31373,32455,34540,32495,28380,22324,16380,11600,7771,6337,0.053,0.058,0.067,0.080,0.084,0.076,0.069,0.071,0.062,0.064,0.068,0.064,0.056,0.044,0.032,0.023,0.015,0.013
66,Risaralda,47255,53954,60001,67320,69564,66168,60012,61084,51700,52257,54293,50041,43912,33694,25098,17435,11402,9570,0.057,0.065,0.072,0.081,0.083,0.079,0.072,0.073,0.062,0.063,0.065,0.060,0.053,0.040,0.030,0.021,0.014,0.011
68,Santander,134801,147068,155512,161017,171035,161606,149819,145464,128373,127128,124021,106800,85331,66176,48801,35764,23399,19914,0.068,0.074,0.078,0.081,0.086,0.081,0.075,0.073,0.064,0.064,0.062,0.054,0.043,0.033,0.024,0.018,0.012,0.010
70,Sucre,70309,78676,82193,79559,71640,66758,59647,57243,50677,49958,46941,39682,31521,25907,18700,13873,8925,7916,0.082,0.091,0.096,0.092,0.083,0.078,0.069,0.067,0.059,0.058,0.055,0.046,0.037,0.030,0.022,0.016,0.010,0.009
73,Tolima,78713,89811,101068,105253,96490,87309,79598,80641,73571,75304,77283,70342,59168,47667,36224,26579,17698,14781,0.065,0.074,0.083,0.086,0.079,0.072,0.065,0.066,0.060,0.062,0.063,0.058,0.049,0.039,0.030,0.022,0.015,0.012
76,Valle_del_Cauca,216805,243178,271092,296467,318843,304619,276973,274749,242830,244068,246732,220236,183443,141401,104724,77050,52949,46070,0.058,0.065,0.072,0.079,0.085,0.081,0.074,0.073,0.065,0.065,0.066,0.059,0.049,0.038,0.028,0.020,0.014,0.012
81,Arauca,20888,22463,23877,22866,22121,20871,18255,16852,14020,12953,11491,9304,6905,4959,3588,2649,1563,1121,0.088,0.095,0.101,0.097,0.093,0.088,0.077,0.071,0.059,0.055,0.049,0.039,0.029,0.021,0.015,0.011,0.007,0.005
85,Casanare,31081,33495,35295,35025,34224,32564,30986,28760,25177,22300,18889,14866,11242,7564,5403,3690,2367,1700,0.083,0.089,0.094,0.093,0.091,0.087,0.083,0.077,0.067,0.060,0.050,0.040,0.030,0.020,0.014,0.010,0.006,0.005
86,Putumayo,22127,24775,27783,29330,26679,23335,21714,20175,17123,15454,12904,10553,7974,6103,4535,3236,2040,1637,0.080,0.089,0.100,0.106,0.096,0.084,0.078,0.073,0.062,0.056,0.047,0.038,0.029,0.022,0.016,0.012,0.007,0.006
88,"Archipielago_de_San_Andres,_Providencia_y_Santa_Catalina",3350,3448,3575,3504,3615,4205,3703,3446,3018,3180,3578,3345,2239,1458,924,607,354,285,0.070,0.072,0.075,0.073,0.076,0.088,0.077,0.072,0.063,0.066,0.075,0.070,0.047,0.030,0.019,0.013,0.007,0.006
91,Amazonas,7071,7223,7330,6916,5447,5029,4507,4007,3239,2830,2355,1971,1482,1103,656,584,246,202,0.114,0.116,0.118,0.111,0.088,0.081,0.072,0.064,0.052,0.045,0.038,0.032,0.024,0.018,0.011,0.009,0.004,0.003
94,Guainia,4269,4521,4075,4027,3754,3068,2627,2412,2015,1764,1492,1253,738,587,448,291,128,113,0.114,0.120,0.108,0.107,0.100,0.082,0.070,0.064,0.054,0.047,0.040,0.033,0.020,0.016,0.012,0.008,0.003,0.003
95,Guaviare,5220,6247,6941,6622,6042,5164,4889,4667,4493,4013,3710,3051,2189,1496,1009,657,360,257,0.078,0.093,0.104,0.099,0.090,0.077,0.073,0.070,0.067,0.060,0.055,0.046,0.033,0.022,0.015,0.010,0.005,0.004
97,Vaupes,3150,3718,3450,3171,2650,2175,1891,1655,1437,1322,1126,1029,758,573,335,279,165,79,0.109,0.128,0.119,0.109,0.091,0.075,0.065,0.057,0.050,0.046,0.039,0.036,0.026,0.020,0.012,0.010,0.006,0.003
99,Vichada,9532,9091,8247,7347,6479,5611,4832,4345,3718,3117,2714,2181,1535,1083,651,452,275,195,0.133,0.127,0.115,0.103,0.091,0.079,0.068,0.061,0.052,0.044,0.038,0.031,0.021,0.015,0.009,0.006,0.004,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
